sample_id,sr_isotopes_measurement,sr_isotopes_precision
41464,0.70844,1
41486,0.70838,1
41526,0.70834,2
41647,0.70841,1
41669,0.70842,1
41706,0.70843,1
41758,0.70825,3
377533,0.70846,1
377548,0.70846,1
377625,0.70836,3
377699,0.70851,1
377718,0.70852,1
377730,0.70842,3
377808,0.70847,3
421180,0.71029,3
421246,0.71014,3
421318,0.7101,3
421360,0.71027,1
421402,0.7102,3
421465,0.71071,9
421510,0.71001,1
421526,0.7102,4
421530,0.70997,3
421551,0.70982,8
421597,0.7098,3
421620,0.71036,14
421653,0.70983,1
421656,0.71104,19
421669,0.70978,2
421672,0.70976,9
421677,0.711,23
421680,0.71139,10
421681,0.70987,1
421683,0.71323,2
421685,0.70993,8
421691,0.70999,8
421720,0.70989,2
421817,0.70985,1
