site_id,site_name,screened,isArchaeologicalSite,arch_category,arch_broader_context,arch_note,arch_confidence,wikidata_qid,osm_id,osm_type,osm_url,isUNESCO,unesco_wh_id
1,Bittoo cave,true,false,,,,,,,,,no,
2,Kesang cave,true,false,,,,,,,,,no,
3,Paraiso cave,true,false,,,,,,,,,no,
4,Villars cave,true,true,Palaeolithic Art,PalaeolithicContext,"Palaeolithic paintings, Dordogne",high,Q3578093,2423303117,node,https://www.openstreetmap.org/node/2423303117,no,
5,Yangkou cave,true,false,,,,,,,,,no,
6,Hulu cave,true,false,,,,,,,,,no,
7,Cold Air cave,true,false,,,,,,,,,no,
8,Lancaster Hole,true,false,,,,,,,,,no,
9,Tonnel’naya cave,true,false,,,,,,,,,no,
10,Jaraguá cave,true,false,,,,,,,,,no,
11,Jeita cave,true,true,Prehistoric Occupation,PrehistoricContext,Prehistoric finds,high,Q193368,,,,no,
12,Mawmluh cave,true,false,,,,,,,,,no,
13,Ball Gown cave,true,false,,,,,,,,,no,
14,Lehman caves,true,false,,,,,,,,,no,
15,Baschg cave,true,false,,,,,,,,,no,
16,Han-sur-Lesse cave,true,true,Prehistoric Occupation,PrehistoricContext,Archaeological finds,high,Q1571916,,,,no,
17,Huangye cave,true,false,,,,,,,,,no,
19,Kanaan cave,true,true,Prehistoric Occupation,PrehistoricContext,Prehistoric context,medium,,,,,no,
20,Secret cave,true,false,,,,,,,,,no,
23,Lapa grande cave,true,false,,,,,,,,,no,
24,Lapa sem fim cave,true,false,,,,,,,,,no,
25,Palestina cave,true,false,,,,,,,,,no,
26,Okshola cave,true,false,,,,,,,,,no,
27,Tamboril cave,true,false,,,,,,,,,no,
28,Valmiki cave,true,false,,,,,,,,,no,
29,Mairs cave,true,false,,,,,,,,,no,
31,Abaliget cave,true,false,,,,,,,,,no,
32,Anjokipoty,true,false,,,,,,,,,no,
34,Cueva del Diablo,true,false,,,,,,,,,no,
35,Curupira cave,true,false,,,,,,,,,no,
36,Dayu cave,true,false,,,,,,,,,no,
38,Diva cave,true,false,,,,,,,,,no,
39,Dongge cave,true,false,,,,,,,,,no,
40,Excentrica cave,true,false,,,,,,,,,no,
42,Ifoulki cave,true,false,,,,,,,,,no,
45,Kulishu cave,true,false,,,,,,,,,no,
46,Labyrintgrottan cave,true,false,,,,,,,,,no,
47,Larshullet cave,true,false,,,,,,,,,no,
