"Beginnings, ends,and durations of marine isiotope stages and substages",,,,,,
"as shown in Figure 3 of L. Bruce Railsback, Philip L. Gibbard, Martin J. Head,",,,,,,
"Ny Riavo G. Voarintsoa, and Samuel Toucanne, 2015, An optimized scheme",,,,,,
"of lettered marine isotope substages for the last 1.0 million years, and the",,,,,,
climatostratigraphic nature of isotope stages and substages: Quaternary,,,,,,
"Science Reviews, v. 111, p. 94-106.",,,,,,
,,,,,,
,,,,,,
Note: Bruce Railsback maintains that a table of time boundaries like the one,,,,,,
below is of little use because the substage designations label excursions,,,,,,
"(highs and lows), not the boundaries between. The excursions (peaks and",,,,,,
"valleys) are distinct and easy to label, but the boundaries are commonly",,,,,,
"gradational, so that choosing one moment in time for them is subjective. ",,,,,,
"Furthermore, improved age models will in the future make any table of",,,,,,
"boundary ages obsolete, even though the substages' numbers and letters",,,,,,
themselves will probably not need revision because it is unlikely that new,,,,,,
excursions will become evident.  The table below was generated only to,,,,,,
satisfy requests by persons who disagree.,,,,,,
,,,,,,
,,,,,,
,,,,,,
Stage or,Beginning,End,Duration,,,
substage,(Yrs BP),(Yrs BP),(yrs),,,
1,"14,500",,,,,
2,"35,000","14,500","20,500",,,
3a,"39,000","35,000","4,000",,,
3b,"44,300","39,000","5,300",,,
3c,"57,300","44,300","13,000",,,
4,"72,700","57,300","15,400",,,
5a,"85,700","72,700","13,000",,,
5b,"92,000","85,700","6,300",,,
5c,"106,800","92,000","14,800",,,
5d,"116,200","106,800","9,400",,,
5e,"132,200","116,200","16,000",,,
6a,"141,300","132,200","9,100",,,
6b,"156,100","141,300","14,800",,,
6c,"165,900","156,100","9,800",,,
6d,"176,000","165,900","10,100",,,
6e,"190,400","176,000","14,400",,,
7a,"204,100","190,400","13,700",,,
7b,"208,200","204,100","4,100",,,
7c,"219,700","208,200","11,500",,,
7d,"234,100","219,700","14,400",,,
7e,"244,000","234,100","9,900",,,
8a,"254,200","244,000","10,200",,,
8b,"269,000","254,200","14,800",,,
8c,"279,000","269,000","10,000",,,
9a,"291,100","279,000","12,100",,,
9b,"307,800","291,100","16,700",,,
9c,"317,000","307,800","9,200",,,
9d,"318,400","317,000","1,400",Shortest,,
9e,"337,000","318,400","18,600",,,
10a,"346,100","337,000","9,100",,,
10b,"354,900","346,100","8,800",,,
10c,"365,400","354,900","10,500",,,
11a,"389,900","365,400","24,500",,,
11b,"396,000","389,900","6,100",,,
11c,"417,100","396,000","21,100",,,
11d,"420,000","417,100","2,900",,,
11e,"428,300","420,000","8,300",,,
12a,"436,700","428,300","8,400",,,
12b,"455,900","436,700","19,200",,,
12c,"476,900","455,900","21,000",,,
13a,"505,600","476,900","28,700",Longest,,
13b,"516,300","505,600","10,700",,,
13c,"533,500","516,300","17,200",,,
14a,"541,200","533,500","7,700",,,
14b,"545,900","541,200","4,700",,,
14c,"553,000","545,900","7,100",,,
14d,"563,900","553,000","10,900",,,
15a,"580,700","563,900","16,800",,,
15b,"589,200","580,700","8,500",,,
15c,"597,900","589,200","8,700",,,
15d,"602,700","597,900","4,800",,,
15e,"622,400","602,700","19,700",,,
16a,"641,900","622,400","19,500",,,
16b,"660,700","641,900","18,800",,,
16c,"676,900","660,700","16,200",,,
17a,"685,100","676,900","8,200",,,
17b,"688,100","685,100","3,000",,,
17c,"705,200","688,100","17,100",,,
17d,"709,000","705,200","3,800",,,
17e,"714,700","709,000","5,700",,,
18a,"725,000","714,700","10,300",,,
18b,"734,100","725,000","9,100",,,
18c,"738,400","734,100","4,300",,,
18d,"743,200","738,400","4,800",,,
18e,"757,200","743,200","14,000",,,
19a,"763,200","757,200","6,000",,,
19b,"769,100","763,200","5,900",,,
19c,"790,900","769,100","21,800",,,
20a,"795,900","790,900","5,000",,,
20b,"800,900","795,900","5,000",,,
20c,"803,900","800,900","3,000",,,
20d,"812,300","803,900","8,400",,,
21a,"824,800","812,300","12,500",,,
21b,"834,000","824,800","9,200",,,
21c,"837,200","834,000","3,200",,,
21d,"842,900","837,200","5,700",,,
21e,"851,000","842,900","8,100",,,
21f,"855,100","851,000","4,100",,,
21g,"867,000","855,100","11,900",,,
22,"881,200","867,000","14,200",,,
23a,"893,100","881,200","11,900",,,
23b,"899,000","893,100","5,900",,,
23c,"917,700","899,000","18,700",,,
24,"928,000","917,700","10,300",,,
25a,"938,500","928,000","10,500",,,
25b,"941,300","938,500","2,800",,,
25c,"944,800","941,300","3,500",,,
25d,"947,200","944,800","2,400",,,
25e,"959,700","947,200","12,500",,,
26,"970,600","959,700","10,900",,,
27,"982,100","970,600","11,500",,,
28a,"992,100","982,100","10,000",,,
28b,"1,001,200","992,100","9,100",,,
28c,"1,013,100","1,001,200","11,900",,,
,,,,,,
Uncertainty in reading Figure 3 is at least ±100 years.,,,,,,
,,,,,,
Please  send notice of errors in the above table to rlsbk@uga.edu,,,,,,
,,,,,,
,,,,,,
,,,,,,
Chuan-Chou (River) SHEN,,,,,,
Yue Yuan,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
